00:00:00,7e0:01:0f,7e0:01:42,7e0:01:0d,7e0:01:10,7e0:01:0b,7e1:15:1e,7e0:01:0c,7e0:01:04
fd d5 00 00,32,37 96,00,05 16,61,,0c 54,9d
e5 d9 00 00,32,37 96,00,05 1c,61,,0c 68,96
ce dd 00 00,32,37 82,03,06 02,61,,0d c0,9d
b5 e1 00 00,32,37 96,05,06 66,61,,0e 08,95
9c e5 00 00,32,37 82,06,07 04,61,,0f 04,9a
84 e9 00 00,32,37 d0,08,07 c4,62,,10 74,a3
6c ed 00 00,32,37 a9,09,07 d2,64,,10 64,a6
54 f1 00 00,32,37 a9,0b,07 c4,64,,10 24,9a
3c f5 00 00,32,37 a9,0d,06 93,64,,0f 64,86
25 f9 00 00,32,37 82,0f,06 6c,63,,0f a0,80
0d fd 00 00,32,37 96,0f,06 0a,62,,0f 74,73
f5 00 01 00,32,37 96,0f,04 e4,61,,0e 00,4a
dd 04 01 00,32,37 82,0f,04 d9,61,,0e 18,5f
c5 08 01 00,32,37 82,0f,04 f8,61,,0e 58,6d
ad 0c 01 00,32,37 96,10,05 45,61,,0e f4,72
94 10 01 00,32,37 96,10,05 a6,61,,0f 70,6b
7c 14 01 00,32,37 96,11,05 85,61,,0f a8,6a
64 18 01 00,32,37 96,11,05 ba,61,,0f d8,6e
4c 1c 01 00,32,37 96,11,05 c2,61,,10 10,70
36 20 01 00,32,37 96,12,06 34,61,,10 90,71
1d 24 01 00,32,37 a9,12,06 8a,62,,11 5c,7b
05 28 01 00,32,37 96,13,06 ca,62,,12 04,7c
ed 2b 01 00,32,37 96,14,07 0d,62,,12 b0,80
d5 2f 01 00,32,37 d0,15,07 12,62,,13 48,75
c0 33 01 00,32,37 6f,15,07 76,62,,13 d0,70
83 3b 01 00,32,37 96,16,07 74,63,,,71
9d 3f 01 00,32,37 d0,16,07 4f,63,,14 9c,
b1 43 01 00,,37 a9,15,07 3c,63,,14 74,75
c6 47 01 00,32,,15,07 71,63,,14 14,76
db 4b 01 00,32,37 d0,,07 15,63,,13 e0,78
f1 4f 01 00,32,37 a9,15,,63,,13 b4,79
0c 54 01 00,32,37 a9,14,06 f1,,,13 10,7a
48 54 01 00,32,37 a9,13,06 d2,,,12 9c,7f
38 58 01 00,32,37 a9,12,09 97,65,,14 0c,9e
21 5c 01 00,32,37 82,12,09 6a,68,,13 f8,99
08 60 01 00,32,37 a9,12,09 70,68,,13 e4,97
f0 63 01 00,32,37 d0,12,09 75,68,,14 18,a8
d8 67 01 00,32,37 d0,12,0c a0,70,,16 34,a2
bf 6b 01 00,32,37 d0,13,0b 27,71,,15 b0,9b
a7 6f 01 00,32,37 e4,13,0b d8,72,,16 20,9c
96 73 01 00,32,37 e4,13,0c 23,74,,16 48,9b
7c 77 01 00,32,37 e4,13,0b 85,73,,16 44,97
64 7b 01 00,32,37 e4,14,0c 53,75,,16 e0,99
4c 7f 01 00,32,37 d0,15,0c fc,78,,17 90,93
36 83 01 00,33,37 e4,15,0c d2,79,,18 08,8f
1c 87 01 00,33,37 e4,16,0c f4,7a,,18 4c,8e
05 8b 01 00,33,37 d0,16,0d 6e,7b,,19 10,8c
ed 8e 01 00,33,37 e4,17,0d da,7e,,19 6c,8d
d5 92 01 00,33,37 e4,18,0d d7,80,,1a 30,8b
bc 96 01 00,33,37 e4,19,0e 39,81,,1a cc,89
